name	hardness	color	season	species
MN02072-7	Hard	Red	Spring	Triticum aestivum
K14	unknown	unknown	unknown	Triticum turanicum
MN03169-2	unknown	unknown	Spring	Triticum aestivum
K15	unknown	unknown	unknown	Triticum turanicum
MN97448	unknown	unknown	Spring	Triticum aestivum
AMIDON	Hard	Red	Spring	Triticum aestivum
BLUEBOY	unknown	unknown	Winter	Triticum aestivum
K2	unknown	unknown	unknown	Triticum turanicum
MN97695-4	unknown	unknown	Spring	Triticum aestivum
K3	unknown	unknown	unknown	Triticum aestivum
MOTT	Hard	Red	Spring	Triticum aestivum
K4	unknown	unknown	unknown	Triticum turanicum
MT1601	unknown	unknown	unknown	Triticum aestivum
K5	unknown	unknown	unknown	Triticum aestivum
MT1617	unknown	unknown	unknown	Triticum aestivum
K6	unknown	unknown	unknown	Triticum turanicum
MT1621	unknown	unknown	unknown	Triticum aestivum
K7	unknown	unknown	unknown	Triticum turanicum
MT1673	unknown	unknown	unknown	Triticum aestivum
K8	unknown	unknown	unknown	Triticum aestivum
MT1716	unknown	unknown	unknown	Triticum aestivum
